"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"CommonBestiaryFlavor.AntlionSwarmer","Antlion Swarmers patrol their nests with a watchful eye. Should anyone threaten their eggs, they will defend them fiercely."
"CommonBestiaryFlavor.BlueArmoredBones","Disciplined and relentless, the Marching Bones unceasingly pursue their goals, sundering anything, or anyone, in their way."
"CommonBestiaryFlavor.CostumeDemonEye","No one knows who dressed these demon eyes up in cute costumes, but the whole process hasn't made them any friendlier."
"CommonBestiaryFlavor.CostumeSkeleton","Skeletons need to wear very elaborate costumes during Halloween, or else people think they are dressing up as skeletons."
"CommonBestiaryFlavor.CostumeZombie","Wearing costumes isn't fooling anyone; these zombies are clearly way too old to be trick or treating."
"CommonBestiaryFlavor.DemonEye","That suspicious feeling of being watched may very well come true in the dark of night, when Cthulhu's minions roam the skies."
"CommonBestiaryFlavor.Diabolist","The undead who bear the Diabolic Sigil wield flames as intense as any in the underworld, consuming all in a scorching inferno."
"CommonBestiaryFlavor.Dragonfly","A swift-flying insect which hunts mosquitoes. Comes in a variety of colors. Fish are somewhat attracted to these."
"CommonBestiaryFlavor.FungiBulb","When the glowing fungus is ready to spread, these bulbs will sprout to spread its spores to other locations and hosts."
"CommonBestiaryFlavor.GemBunny","These colorful rabbits made their way so deep, their reaction to magicked gems resulted in a coveted sparkling appearance."
"CommonBestiaryFlavor.GemSquirrel","Glistening squirrels who strayed too deep become ensorcelled with residual cursed energy retained in gemstones."
"CommonBestiaryFlavor.GoldBaitCritter","Rarely, critters are found coated entirely in gold! They are worth great coin to shopkeepers and fish absolutely love golden bait!"
"CommonBestiaryFlavor.GoldCritter","Rarely, critters are found coated entirely in gold! Shopkeepers will pay handsomely for these, or you can show them off in cages!"
"CommonBestiaryFlavor.HellArmoredBones","The fiery glow of the Molten Legion is unmistakable. With their red-hot armaments in hand, they blaze a trail through all those in their way."
"CommonBestiaryFlavor.Hornet","Aggressive flying insects which swarm the jungle depths. Their venomous barbs discharge over great distances at high velocity."
"CommonBestiaryFlavor.Jellyfish","That strange tingling sensation in the water may be the unwelcome surging of electrical death from a brainless jellyfish. Swim with care."
"CommonBestiaryFlavor.Lamia","By the time glowing red eyes appear in the darkness of the desert caves, it is already too late. The lamias have found their prey."
"CommonBestiaryFlavor.LavaBat","What's worse than a rabid, fast-flying, and annoying flying rodent? One that is on fire, of course!"
"CommonBestiaryFlavor.Mimic","Talking to a chest doesn't cause craziness, but if the chest answers back, it may cause death! It still contains rare treasure, regardless!"
"CommonBestiaryFlavor.Mummy","With the sands transmogrified by outside forces, those put to rest in the desert, whether good or evil, now rise to maim and kill."
"CommonBestiaryFlavor.MushroomZombie","The fungus controlling the minds of these zombies wants only one thing: brains! This is very convenient for the zombie."
"CommonBestiaryFlavor.Necromancer","In life, these sorcerers bore the Necromantic Sign of their order, and they shall continue to do so forever . . . even in death."
"CommonBestiaryFlavor.Penguin","Penguins make their home in the coldest regions of the world, waddling around looking for tasty fish."
"CommonBestiaryFlavor.Pigron","This elusive dragon-pig hybrid has excellent stealth capabilities despite its rotund figure. It is uncertain how they came to exist."
"CommonBestiaryFlavor.RaggedCaster","With their cursed magic, the members of the Ragged Brotherhood leave their victims helplessly lost in utter darkness."
"CommonBestiaryFlavor.RibbonSlime","A perfectly gift wrapped bundle of slime. A wonderfully deadly present for any festive occasion."
"CommonBestiaryFlavor.RustyArmoredBones","Through use and neglect, the Rusted Company's weapons are jagged and rough, inflicting terrible bleeding wounds upon their foes."
"CommonBestiaryFlavor.Sandshark","In ancient times, a saltwater river once ran through the desert. These powerful creatures evolved to survive in the now dry sand."
"CommonBestiaryFlavor.Scarecrow","Possessed by vengeful spirits of the harvest, these scarecrows are out to cause mischief and mayhem galore."
"CommonBestiaryFlavor.Skeleton","Who needs muscles, skin, or even eyeballs? Skeletons get by with just the bones on their back, just as deadly as more fleshy foes."
"CommonBestiaryFlavor.Slime","A simple, gelatinous creature that swallows anything and everything whole! It takes a long time to digest anything."
"CommonBestiaryFlavor.Zombie","Leaving doors open may be an invitation for shambling brain-eaters to enter the home, and nobody likes that."
"CommonBestiaryFlavor.ZombieElf","Elves that used to work for Santa, but have since been zombified. They don't complain much, so they are still pretty good helpers."
"CommonBestiaryFlavor.ZombieXmas","Even zombies can celebrate the holidays. Their festive outfits are just right, but their holiday spirit could use some work."
"CommonItemTooltip.BannerBonus","Nearby players get a bonus against: "
"CommonItemTooltip.Counterweight","Throws a counterweight after hitting an enemy with a yoyo"
"CommonItemTooltip.CreativeSacrificeComplete","Duplication unlocked"
"CommonItemTooltip.CreativeSacrificeNeeded","Research {0} more to unlock duplication"
"CommonItemTooltip.DevItem","'Great for impersonating devs!'"
"CommonItemTooltip.EtherianManaCost10","Costs 10 Etherian Mana per use while defending an Eternia Crystal"
"CommonItemTooltip.FlightAndSlowfall","Allows flight and slow fall"
"CommonItemTooltip.GolfBall","Can be hit with a golf club"
"CommonItemTooltip.GolfDriver","A powerful club for long distances
Golf balls will carry very far, with little vertical loft"
"CommonItemTooltip.GolfIron","A well-rounded club best for mid-range distances
Golf balls will carry a good distance with decent vertical loft"
"CommonItemTooltip.GolfPutter","A specialized club for finishing holes
Golf balls will stay close to the ground over short distances for precision shots"
"CommonItemTooltip.GolfWedge","A specialized club for sand pits or tall obstacles
Golf balls will gain tons of vertical loft but will not carry very far"
"CommonItemTooltip.Kite","Kites can be flown on windy days
Reel it in with <right>"
"CommonItemTooltip.LavaFishing","Allows fishing in lava"
"CommonItemTooltip.MajorStats","Major improvements to all stats"
"CommonItemTooltip.MediumStats","Medium improvements to all stats"
"CommonItemTooltip.MinorStats","Minor improvements to all stats"
"CommonItemTooltip.MinuteDuration","{0} minute duration"
"CommonItemTooltip.PlaceableOnXmasTree","Placeable on a christmas tree"
"CommonItemTooltip.PressDownToHover","Press DOWN to toggle hover
Press UP to deactivate hover"
"CommonItemTooltip.PressUpToBooster","Hold UP to boost faster!"
"CommonItemTooltip.RestoresLife","Restores {0} life"
"CommonItemTooltip.RestoresMana","Restores {0} mana"
"CommonItemTooltip.RightClickToOpen","<right> to open"
"CommonItemTooltip.SecondDuration","{0} second duration"
"CommonItemTooltip.Sentry","Summons a sentry"
"CommonItemTooltip.SpecialCrafting","Used for special crafting"
"CommonItemTooltip.String","Increases yoyo range"
"CommonItemTooltip.TeleportationPylon","Teleport to another pylon when 2 villagers are nearby
You can only place one per type and in the matching biome"
"CommonItemTooltip.TipsyStats","Minor improvements to melee stats & lowered defense"
"CommonItemTooltip.UsesLife","Uses {0} life"
"CommonItemTooltip.UsesMana","Uses {0} mana"
"CommonItemTooltip.Whips","Your summons will focus struck enemies"
"CommonItemTooltip.WizardHatDuringAnniversary","Increases your max number of minions by 1"
"Controls.LeftClick","Left Click"
"Controls.RightClick","Right Click"
"CreativePowers.CantUsePowerBecauseOfNoPermissionFromServer","You have no permission for this power"
"CreativePowers.ConfirmInfiniteItemSacrifice","Research"
"CreativePowers.DifficultySlider_Closed","Open Enemy Difficulty Slider"
"CreativePowers.DifficultySlider_Opened","Close Enemy Difficulty Slider"
"CreativePowers.FreezeRainPower_Disabled","Rain Change Enabled"
"CreativePowers.FreezeRainPower_Enabled","Rain Change Disabled"
"CreativePowers.FreezeTime_Description","Stop the passage of time"
"CreativePowers.FreezeTime_Disabled","Time Unfrozen"
"CreativePowers.FreezeTime_Enabled","Time Frozen"
"CreativePowers.FreezeWindDirectionAndStrength_Disabled","Wind Change Enabled"
"CreativePowers.FreezeWindDirectionAndStrength_Enabled","Wind Change Disabled"
"CreativePowers.Godmode_Description","Become invulnerable to damage!"
"CreativePowers.Godmode_Disabled","Godmode Disabled"
"CreativePowers.Godmode_Enabled","Godmode Enabled"
"CreativePowers.InfiniteItemSacrificeShortDescription","Researching <item name> will consume it"
"CreativePowers.InfiniteItemsCategory","Research Infinite Items"
"CreativePowers.InfiniteItemsCategoryClosed","Open Duplication Menu"
"CreativePowers.InfiniteItemsCategoryOpened","Close Duplication Menu"
"CreativePowers.InfinitePlacementRange_Disabled","Normal Placement Range"
"CreativePowers.InfinitePlacementRange_Enabled","Increased Placement Range"
"CreativePowers.ItemWasJustUnlockedInfinitely","Once enough of <item name> is researched, it will be available infinitely!"
"CreativePowers.ModifyRainPower_Closed","Open Rain Control Slider"
"CreativePowers.ModifyRainPower_Opened","Close Rain Control Slider"
"CreativePowers.ModifyTimeRate_Closed","Open Time Speed Slider"
"CreativePowers.ModifyTimeRate_Opened","Close Time Speed Slider"
"CreativePowers.ModifyWindDirectionAndStrength_Closed","Open Wind Control Slider"
"CreativePowers.ModifyWindDirectionAndStrength_Opened","Close Wind Control Slider"
"CreativePowers.NPCSpawnRateSlider_Closed","Open Enemy Spawn Rate Slider"
"CreativePowers.NPCSpawnRateSlider_Opened","Close Enemy Spawn Rate Slider"
"CreativePowers.NPCSpawnRateSliderEnemySpawnsDisabled","Disabled"
"CreativePowers.PersonalCategory","Powers relating to you"
"CreativePowers.PersonalCategoryClosed","Open Personal Power Menu"
"CreativePowers.PersonalCategoryOpened","Close Personal Power Menu"
"CreativePowers.PowersMenuClosed","Open Power Menu"
"CreativePowers.PowersMenuOpen","Close Power Menu"
"CreativePowers.ResearchButtonTooltip","Fully researched items can be created freely"
"CreativePowers.ResearchItemsCategoryClosed","Open Research Menu"
"CreativePowers.ResearchItemsCategoryOpened","Close Research Menu"
"CreativePowers.Sort_Alphabetical","Name"
"CreativePowers.Sort_Blocks","Blocks"
"CreativePowers.Sort_PlacableObjects","Placable Objects"
"CreativePowers.Sort_SortingID","By ID"
"CreativePowers.Sort_Walls","Walls"
"CreativePowers.StartDayImmediately","Change Time to Dawn"
"CreativePowers.StartDayImmediately_Description","Time is set to 4:30 AM"
"CreativePowers.StartMidnightImmediately","Change Time to Midnight"
"CreativePowers.StartMidnightImmediately_Description","Time is set to 12:00 AM"
"CreativePowers.StartNightImmediately","Change Time to Dusk"
"CreativePowers.StartNightImmediately_Description","Time is set to 7:30 PM"
"CreativePowers.StartNoonImmediately","Change Time to Noon"
"CreativePowers.StartNoonImmediately_Description","Time is set to 12:00 PM"
"CreativePowers.StartRainImmediately","Start Rain"
"CreativePowers.StartRainImmediately_Description","Will cause rain to start falling"
"CreativePowers.StopBiomeSpread_Disabled","Infection Spread Enabled"
"CreativePowers.StopBiomeSpread_Enabled","Infection Spread Disabled"
"CreativePowers.StopRainImmediately","Stop Rain"
"CreativePowers.StopRainImmediately_Description","Will cause rain to stop falling"
"CreativePowers.TabAccessories","Accessories"
"CreativePowers.TabAccessoriesMisc","Equipment"
"CreativePowers.TabArmor","Armor"
"CreativePowers.TabBlocks","Blocks"
"CreativePowers.TabConsumables","Consumables"
"CreativePowers.TabFurniture","Furniture"
"CreativePowers.TabMaterials","Materials"
"CreativePowers.TabMisc","Misc"
"CreativePowers.TabSearch","If Searched For"
"CreativePowers.TabTools","Tools"
"CreativePowers.TabVanity","Vanity"
"CreativePowers.TabWeapons","Weapons"
"CreativePowers.TimeCategory","Powers relating to controlling time"
"CreativePowers.TimeCategoryClosed","Open Time Menu"
"CreativePowers.TimeCategoryOpened","Close Time Menu"
"CreativePowers.WeatherCategory","Powers relating to controlling weather"
"CreativePowers.WeatherCategoryClosed","Open Weather Menu"
"CreativePowers.WeatherCategoryOpened","Close Weather Menu"
"CreativePowers.WeatherClearSky","Clear Sky"
"CreativePowers.WeatherDrizzle","Drizzle"
"CreativePowers.WeatherMonsoon","Monsoon"
"CreativePowers.WindEast","East"
"CreativePowers.WindNone","No Wind"
"CreativePowers.WindWest","West"
"CreditsRollCategory_BusinessDevelopment.1","Business Development"
"CreditsRollCategory_BusinessDevelopment.2","Ted “Loki” Murphy"
"CreditsRollCategory_BusinessDevelopment.3","David “D-Town” Phelps"
"CreditsRollCategory_Creator.1","Creator"
"CreditsRollCategory_Creator.2","Andrew “Redigit” Spinks"
"CreditsRollCategory_Designer.1","Designer"
"CreditsRollCategory_Designer.2","Andrew “Redigit” Spinks"
"CreditsRollCategory_Designer.3","Whitney “Cenx” Spinks"
"CreditsRollCategory_Designer.4","Yorai “Yoraiz0r” Omer"
"CreditsRollCategory_Dialog.1","Dialog"
"CreditsRollCategory_Dialog.2","James “Lazure” Hayes"
"CreditsRollCategory_Dialog.3","Jeremy “Blue” Guerrette"
"CreditsRollCategory_Dialog.4","Dustin “Splugen” Gunter"
"CreditsRollCategory_EndingNotes.1","Thank you for playing!"
"CreditsRollCategory_ExecutiveProducer.1","Executive Producer"
"CreditsRollCategory_ExecutiveProducer.2","Whitney “Cenx” Spinks"
"CreditsRollCategory_Graphics.1","Graphics"
"CreditsRollCategory_Graphics.10","Sarah “Waffles” Data"
"CreditsRollCategory_Graphics.2","Victor “Crowno” Moura"
"CreditsRollCategory_Graphics.3","James “Lazure” Hayes"
"CreditsRollCategory_Graphics.4","Jim Tommy Myhre “Jimmarn” Kjexrud"
"CreditsRollCategory_Graphics.5","Andrew “Redigit” Spinks"
"CreditsRollCategory_Graphics.6","Will “Phlebas” Garner"
"CreditsRollCategory_Graphics.7","Finn “Tiy” Brice"
"CreditsRollCategory_Graphics.8","Aaron “AaronC” Craig"
"CreditsRollCategory_Graphics.9","Gabriel “Red Yoshi” Kiesshau"
"CreditsRollCategory_Marketing.1","Marketing"
"CreditsRollCategory_Marketing.2","Ted “Loki” Murphy"
"CreditsRollCategory_Music.1","Music"
"CreditsRollCategory_Music.2","Scott Lloyd Shelly"
"CreditsRollCategory_Playtesting.1","Playtesting"
"CreditsRollCategory_Playtesting.10","Brandon “rbrandon” Kime"
"CreditsRollCategory_Playtesting.11","Clara Kane"
"CreditsRollCategory_Playtesting.12","Brian “Blahblahbal” Hansen"
"CreditsRollCategory_Playtesting.13","Jay “jeckel” Jeckel"
"CreditsRollCategory_Playtesting.14","Michael “kelp” McCarthy"
"CreditsRollCategory_Playtesting.15","Carwyn “Aeroblop” Dalrymple"
"CreditsRollCategory_Playtesting.16","Adrian “Unrealmegashark” Wheeler"
"CreditsRollCategory_Playtesting.17","Matthew “Omnir” Hunnicutt"
"CreditsRollCategory_Playtesting.18","Tsukina “Tsuki” Nakata"
"CreditsRollCategory_Playtesting.19","Suw “Suweeka” Gutierrez"
"CreditsRollCategory_Playtesting.2","Atri “m4sterbr0s” Maharaj"
"CreditsRollCategory_Playtesting.20","Joshua “scizor300” Wubker"
"CreditsRollCategory_Playtesting.21","Michael “shockah” Dolas"
"CreditsRollCategory_Playtesting.22","Tyler “BurnZeZ” Whiteman"
"CreditsRollCategory_Playtesting.23","Peter “Doylee” Doyle"
"CreditsRollCategory_Playtesting.24","Kyle “Kley” Hodge"
"CreditsRollCategory_Playtesting.25","Steven “Twitchy” French"
"CreditsRollCategory_Playtesting.26","Anodomani"
"CreditsRollCategory_Playtesting.27","Igor “Conker” Magi Marinho"
"CreditsRollCategory_Playtesting.28","Cheah Jun Siang"
"CreditsRollCategory_Playtesting.29","Zach “Olink” Piispanen"
"CreditsRollCategory_Playtesting.3","Brian “TGS” Gilliford"
"CreditsRollCategory_Playtesting.30","Lisa “Lils” Chiu"
"CreditsRollCategory_Playtesting.31","iRandomness"
"CreditsRollCategory_Playtesting.32","Kaleb “JesusLlama” Regalado"
"CreditsRollCategory_Playtesting.33","Elias “Elbow” Naddaf"
"CreditsRollCategory_Playtesting.34","Jonathan “FallingSnow” Poholarz"
"CreditsRollCategory_Playtesting.35","Brandon Thomas"
"CreditsRollCategory_Playtesting.36","Daniel “DMF” Faria"
"CreditsRollCategory_Playtesting.37","Luna Meier"
"CreditsRollCategory_Playtesting.38","Robert “qig” Buchanan"
"CreditsRollCategory_Playtesting.39","Alexaunder “as303298” Savoy"
"CreditsRollCategory_Playtesting.4","Mike “TrinityFlash” Dunn"
"CreditsRollCategory_Playtesting.40","Alexander “Vandarx” Reaves"
"CreditsRollCategory_Playtesting.41","QEM - “Mystery”"
"CreditsRollCategory_Playtesting.42","Balázs “Mamaluigi” Makai"
"CreditsRollCategory_Playtesting.43","Daniel “Garro” Berner"
"CreditsRollCategory_Playtesting.44","Tyler “Quill” Warr"
"CreditsRollCategory_Playtesting.45","Andrew “Andydark” Windmiller"
"CreditsRollCategory_Playtesting.46","Steven “ppowersteef” Logghe"
"CreditsRollCategory_Playtesting.47","Michele “W1K” Nunziato"
"CreditsRollCategory_Playtesting.48","Chris “Criddle” Rohde"
"CreditsRollCategory_Playtesting.49","Kaz “Kazzymodus” Tollenaar"
"CreditsRollCategory_Playtesting.5","William “Ignoritus” Coffey"
"CreditsRollCategory_Playtesting.50","Sam “darthmorf” Poirier"
"CreditsRollCategory_Playtesting.51","John “Aurora3500” Witzig"
"CreditsRollCategory_Playtesting.52","Harley “Acamaeda” White"
"CreditsRollCategory_Playtesting.53","Tristan “Discipile” Shabbick"
"CreditsRollCategory_Playtesting.54","Evan “Antithesis” Kirkpatrick "
"CreditsRollCategory_Playtesting.55","Keven “Waze3174” Chastenay"
"CreditsRollCategory_Playtesting.56","Benjamin “Jenosis” Hook"
"CreditsRollCategory_Playtesting.57","Connor “Darthkitten” Schneider"
"CreditsRollCategory_Playtesting.58","Zach “Vulpes Inculta” Yurek"
"CreditsRollCategory_Playtesting.59","Shane “Sigma” Grimson-Smith"
"CreditsRollCategory_Playtesting.6","Valtteri Nieminen"
"CreditsRollCategory_Playtesting.60","James “Khaios” Sterling"
"CreditsRollCategory_Playtesting.61","Xavier “Xman101” Calder"
"CreditsRollCategory_Playtesting.62","Cynthia “Serenity” Germaine"
"CreditsRollCategory_Playtesting.63","W. “Altermaven” Black"
"CreditsRollCategory_Playtesting.64","Midnaait"
"CreditsRollCategory_Playtesting.65","ManaUser"
"CreditsRollCategory_Playtesting.66","Unit One"
"CreditsRollCategory_Playtesting.67","General Milky"
"CreditsRollCategory_Playtesting.68","Tunnel King"
"CreditsRollCategory_Playtesting.69","Chris Ness"
"CreditsRollCategory_Playtesting.7","Ryan “Namyrr” Le"
"CreditsRollCategory_Playtesting.70","Yrimir"
"CreditsRollCategory_Playtesting.8","Gabriel “Red Yoshi” Kiesshau"
"CreditsRollCategory_Playtesting.9","Ragnor “Devalaous” Berntsen"
"CreditsRollCategory_Programming.1","Programming"
"CreditsRollCategory_Programming.2","Yorai “Yoraiz0r” Omer"
"CreditsRollCategory_Programming.3","Andrew “Redigit” Spinks"
"CreditsRollCategory_Programming.4","Chris “Skiphs” Bednarz"
"CreditsRollCategory_Programming.5","Charles “Grox” Hanrahan"
"CreditsRollCategory_Programming.6","Jason “Leinfors” Parker"
"CreditsRollCategory_Programming.7","Jason “Solsund” Berg"
"CreditsRollCategory_PublicRelations.1","Public Relations"
"CreditsRollCategory_PublicRelations.2","Amanda “safeman” Powell"
"CreditsRollCategory_QualityAssurance.1","Quality Assurance"
"CreditsRollCategory_QualityAssurance.2","Jason “Leinfors” Parker"
"CreditsRollCategory_QualityAssurance.3","Crystal “Ghostar” Ironheart"
"CreditsRollCategory_QualityAssurance.4","Houston “Food Barbarian” Lawson"
"CreditsRollCategory_QualityAssurance.5","Olivia “Arkhayla” Cres"
"CreditsRollCategory_QualityAssurance.6","Mike “0x33” Johnson"
"CreditsRollCategory_Sound.1","Sound"
"CreditsRollCategory_Sound.2","Morten Lund Søegaard"
"CreditsRollCategory_Sound.3","Jens Kiilstofte"
"CreditsRollCategory_Sound.4","Pond5.com"
"CreditsRollCategory_Sound.5","SoundSnap.com"
"CreditsRollCategory_SpecialThanksto.1","Special Thanks to"
"CreditsRollCategory_SpecialThanksto.10","Markus “Notch” Persson"
